Date,Open,High,Low,Close,Volume
2022-09-07,148.94,151.42,148.21,150.06,8388547
2022-09-08,151.91,152.71,149.81,150.81,6718686
2022-09-09,150.19,150.86,149.34,150.25,5813706
2022-09-12,147.96,151.34,145.01,148.12,8397565
2022-09-13,146.79,149.18,145.84,147.1,6447974
2022-09-14,144.51,147.29,141.92,144.88,8136054
2022-09-15,145.72,146.65,142.92,145.06,5419016
2022-09-16,148.37,148.88,147.74,148.24,13099057
2022-09-19,146.92,147.78,146.15,147.05,9692703
2022-09-20,145.58,146.93,143.83,145.66,9281833
2022-09-21,147.12,148.5,145.55,146.85,10047885
2022-09-22,147.52,148.45,146.26,147.72,12114581
2022-09-23,147.45,149.38,146.54,148.05,8343748
2022-09-26,145.8,145.99,145.72,145.86,11956539
2022-09-27,145.07,146.47,144.7,145.83,5406296
2022-09-28,147.5,147.58,147.32,147.5,9707411
2022-09-29,143.72,146.18,143.1,144.45,10896331
2022-09-30,143.52,144.38,143.05,143.5,9627917
2022-10-03,139.3,139.85,138.62,139.22,11474300
2022-10-04,136.58,137.8,135.36,136.46,18974451
2022-10-05,132.86,133.56,130.86,132.61,13147388
2022-10-06,132.03,132.46,131.82,132.16,7527914
2022-10-07,129.57,129.72,129.51,129.63,11267502
2022-10-10,129.8,130.72,129.42,130.14,8329805
2022-10-11,130.5,130.52,130.48,130.5,7924809
2022-10-12,130.05,130.58,129.74,130.17,9942706
2022-10-13,125.21,127.47,123.17,125.15,16677605
2022-10-14,124.3,124.66,123.74,124.16,13339999
2022-10-17,124.09,125.6,123.11,124.03,11418060
2022-10-18,124.37,124.68,123.9,124.29,9582763
2022-10-19,120.57,122.66,120.01,121.38,10167121
2022-10-20,120.27,121.13,119.31,120.5,8532459
2022-10-21,119.4,119.86,118.06,118.73,10941244
2022-10-24,117.43,118.04,115.48,117.19,11764194
2022-10-25,118.94,120.71,116.84,119.2,14079728
2022-10-26,118.38,118.78,116.89,117.74,7777889
